"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"8320","Tnip1",279.667246082982,-0.0175610856396477,0.0995866726304608,-0.176339716709003,0.860027061465769,0.931654959258138
"8321","9330159M07Rik",25.4269276265585,-0.0175641832273906,0.248331088984822,-0.0707288938295764,0.943613524467518,0.972850443339341
"8322","Gm715",38.4849266077797,-0.0176003667790153,0.205034483104013,-0.0858410083638798,0.93159280681182,0.967608678593284
"8323","Bod1",911.039871757535,-0.0176628306713093,0.0498529837780009,-0.354298365569515,0.723115292501806,0.854237073164811
"8324","Gnal",3664.6092822193,-0.0176688195361467,0.0754007352364006,-0.234332191599331,0.814727096261971,0.910262581167902
"8325","Rgs9",457.227132120284,-0.0176727992707462,0.108877980731079,-0.16231747826401,0.871055851531466,0.936499473951598
"8326","Shprh",1360.97512681796,-0.0177039319733874,0.0534792208620976,-0.331043191878936,0.740611860727463,0.86485642664202
"8327","Adhfe1",247.528936792739,-0.01789372279768,0.206372967574092,-0.0867057493431442,0.930905406316743,0.967523021324602
"8328","Zfp85",127.109565165303,-0.0179025529476928,0.0941399983260736,-0.190169463203978,0.849176339278434,0.926679997857489
"8329","Rnf40",1208.55501562128,-0.0179648535065957,0.0396608251516185,-0.452962172065716,0.650575980813445,0.808681411269639
"8330","Atp6v1c1",4189.63587489874,-0.017973631872445,0.0596116110448456,-0.301512265100897,0.763023898719566,0.879563105422128
"8331","Cyp46a1",1865.57156582175,-0.01799911608506,0.0730474200196685,-0.246403173174543,0.80537015011474,0.904032958282344
"8332","Fcgrt",175.257704078808,-0.0180213475970078,0.104842103343523,-0.171890366773352,0.863523720067417,0.933659458779263
"8333","Gm28042",45.4375670090405,-0.0180875137285493,0.363365289988285,-0.0497777697179951,0.960299481912469,0.981498289080861
"8334","Cntrl",216.458199144089,-0.0180989930136292,0.126065742400584,-0.143567892981729,0.885841695636047,0.94468150115727
"8335","Supt20",436.987457363204,-0.0181700384758263,0.0624402445332599,-0.290998835953433,0.771052209777935,0.884105729133357
"8336","Qpct",147.500134387156,-0.0181941930234411,0.14737674361275,-0.123453623532683,0.901747896347205,0.953628655822058
"8337","Trip4",1055.44860143314,-0.0181978166592668,0.0546664473159286,-0.33288822582704,0.739218657490931,0.863987251036176
