"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1745","Ctsc",105.491658558806,0.393936716839385,0.180829273087583,2.17850080417337,0.0293687724276809,0.0990283256237155
"1746","Lpin2",2623.56531209939,0.393382838301534,0.133506383253284,2.9465470392919,0.00321343539382407,0.0185125692525624
"1747","Stard3nl",467.232825239948,0.393356539033347,0.0673661694035795,5.83908128539732,5.24894574167599e-09,3.00945988387636e-07
"1748","Tgm6",2.95018561166874,0.393220272977105,0.903763389296373,0.43509205798129,0.663495607952789,0.810529062041654
"1749","Ttyh1",6871.38626582083,0.393074280221545,0.0916573882565144,4.28851713646343,1.79869923992726e-05,0.000287110692391665
"1750","Sla",48.4269436263058,0.392990570372011,0.168906458341267,2.32667580761177,0.0199825264020249,0.0744629627812612
"1751","Dusp6",465.346264498443,0.392692099275498,0.178874935895419,2.19534445846057,0.0281388980287618,0.095688206445386
"1752","Sirt7",317.490068151413,0.392636902219702,0.0778548027254683,5.04319436277065,4.57823789144579e-07,1.30764871643035e-05
"1753","Cd68",102.127264149261,0.392507873294062,0.169090758278501,2.32128519198891,0.020271456899853,0.0752702227695526
"1754","Zcrb1",380.337730851153,0.39244274492089,0.0648264137767382,6.0537475707427,1.41514309928085e-09,9.39113048224885e-08
"1755","Nuf2",34.904267511463,0.392417772421171,0.221534810264713,1.7713594172955,0.0765009526324822,0.199737545003107
"1756","Hnrnpa1",725.809520843062,0.392316764793248,0.119747855121107,3.27619032839026,0.00105217628275092,0.00773629850518654
"1757","Dlx1",192.463705804682,0.392163620622382,0.217618236909861,1.80207149084118,0.0715341584480387,0.190006214992293
"1758","Col6a2",102.825415178954,0.392163024633974,0.74274760704756,0.527989617082485,0.597506542430102,0.763404434638493
"1759","Ssc5d",38.1335125404397,0.392128856177318,0.2220810149442,1.7657018375742,0.0774458843455601,0.201275077922543
"1760","Rian",5516.12750838321,0.392054226888642,0.142966078562439,2.74228845633068,0.00610127356638675,0.0306044905975559
"1761","Id3",319.798753296915,0.391918191168219,0.17539954328891,2.23443108128662,0.0254547225285626,0.0888468656677317
"1762","Lmnb1",136.771468491482,0.391824075206022,0.138676729578913,2.82544934824884,0.0047214352166379,0.0251299597964055
"1763","Hyls1",118.214625865541,0.391779550720931,0.118086842102498,3.31772400502395,0.00090754111529859,0.00689050812710882
"1764","6720483E21Rik",2.89498970335413,0.391190962443739,0.762659988757951,0.512929704206488,0.608000494157029,0.771942335453788
"1765","Ddit4",804.699137053996,0.39102071331648,0.132719483137089,2.94621937995785,0.00321684158982268,0.0185151820461691
"1766","Ccng2",847.213436020188,0.390858573477309,0.0913072271576561,4.28069700115228,1.86308878858529e-05,0.000294973296020178
"1767","Tmem240",158.11847514817,0.390687783791015,0.0918518523519366,4.25345568747017,2.10496608398105e-05,0.000327287598002837
"1768","B3gnt5",17.6123521615424,0.390581532216119,0.295703808188344,1.32085391327576,0.186550079126062,0.364952643097465
"1769","Csdc2",2526.57488050541,0.39046754690427,0.0969130580282177,4.02904990151668,5.60027307569886e-05,0.000730847352431161
"1770","Dlat",2402.0134941954,0.389969860010551,0.0754878375605288,5.16599590891526,2.39162021593865e-07,7.70863245253434e-06
"1771","Itprip",16.179850764186,0.389938136602203,0.324698520511803,1.20092366293375,0.229780814303023,0.421758254708987
"1772","Grm2",2774.78986012225,0.38984366495297,0.167609628663104,2.32590256336977,0.020023749265248,0.0745501164852122
"1773","C230052I12Rik",58.7791846789715,0.389813389723097,0.159171177498412,2.44901995354646,0.014324551240654,0.0581748376557291
"1774","Jazf1",844.084415397385,0.389622237485091,0.0972186066272519,4.00769205609941,6.13149956539777e-05,0.000787001940101878
"1775","Mlph",41.4602439405089,0.389601987669873,0.308175755679572,1.26422010975764,0.206151034851089,0.391062570064802
"1776","1700001G17Rik",4.01242613284039,0.38950343419989,0.61540806848051,0.632918959222624,0.526786566208657,0.707548498148693
"1777","Atp2a3",86.7898130955129,0.389107805953628,0.23088907515291,1.68525862774553,0.0919386841241236,0.226900423946148
"1778","Lmna",379.384444720956,0.389042907655872,0.118644639615449,3.2790601321462,0.00104153440078975,0.00769068607022544
"1779","Ufsp1",63.2786273337678,0.388915129266017,0.165621831252741,2.34821174433537,0.0188637940505274,0.071230234435345
"1780","C030016D13Rik",10.8082250171858,0.388892667844257,0.346768212785496,1.12147726782794,0.262084762419051,0.460428149890713
"1781","Hlx",6.34558896435054,0.388716281775129,0.450610438052716,0.862643758220386,0.388333363653255,0.590431783774253
"1782","R74862",63.2686482779804,0.388415797271395,0.167482106636147,2.31914802764706,0.0203870113765823,0.0755370497547637
"1783","Itga1",115.335776940771,0.388248194689356,0.178245859423625,2.17816108573178,0.0293940460934272,0.0990485086603215
"1784","Il1f9",39.8068849803508,0.38810038949661,0.206940054231404,1.87542421856443,0.060734385906141,0.169013695254509
"1785","P4ha1",1060.13398740887,0.388076826784362,0.118797191577683,3.26671718102523,0.00108802316416932,0.00795486228092856
"1786","Sepp1",3430.06948593855,0.388069522261942,0.165814934734152,2.34037737845584,0.0192642632532458,0.0723569810776415
"1787","Stac2",571.007805944099,0.388038236324525,0.197133286786622,1.96840545120389,0.0490214051874813,0.144080062928528
"1788","Mapk6",549.37373480108,0.388016035044864,0.121559995869492,3.19197143985957,0.00141305303973892,0.0097983824609731
"1789","Taf12",176.72087856387,0.387992461740862,0.0934428074110121,4.15219183253197,3.29306035320609e-05,0.000480404828889139
"1790","Samd11",9.93337787621627,0.387603681671338,0.388147552511586,0.998598803891127,0.317989079811425,0.520948795033493
"1791","Myo1a",12.6093406392681,0.387472498442533,0.32868705152997,1.17884929338995,0.238458191879251,0.431972291378875
"1792","Dnajb11",870.300454687572,0.38746824110348,0.109849072560837,3.52727821974912,0.000419855333132686,0.00372590992602317
"1793","Slc25a1",433.734946958609,0.386994114209745,0.0733871540900032,5.2733222729298,1.33975994411176e-07,4.70575592982497e-06
"1794","Kcnj12",46.7432872607914,0.386789646372618,0.207896575703306,1.86049070343811,0.0628161325285275,0.172858617249621
"1795","Bud31",106.853705534134,0.386565136819452,0.125847003874145,3.07170711196303,0.00212838452170019,0.0135147217491508
"1796","Lrrc3",91.4857580626256,0.386510752140433,0.152649713694152,2.53201098637396,0.0113410437785311,0.048682515201264
"1797","Mtag2",8.59057505783538,0.386192585156309,0.370239134417949,1.04308958523101,0.296906803777591,0.498789357418025
"1798","Taf15",1072.247886933,0.38597151293717,0.0903834932656063,4.27037613829476,1.95143574009651e-05,0.000306788969149731
"1799","Gata2",61.456267436518,0.385914151749633,0.293712650505941,1.31391736476065,0.188874014381857,0.368140264252601
"1800","Cpxm2",15.189254666906,0.385622194036833,0.424765397746002,0.90784747553148,0.363958811360844,0.56646084462798
"1801","Cst3",10186.8001430414,0.385565201151436,0.122257055454531,3.15372556387825,0.00161200598949458,0.0109158633982493
"1802","Snhg11",12034.734102453,0.385522280371483,0.169299471402815,2.27716174880552,0.0227765684121117,0.081994594733814
"1803","Ifitm1",20.7682507803617,0.385450926539766,0.412671488355129,0.934038181499133,0.350284198012049,0.552853120051327
"1804","Zfp36l2",359.171807990056,0.385341478050084,0.0822469115209599,4.68517870062371,2.79715774715584e-06,6.05856598151323e-05
"1805","Mis18a",74.3369552587223,0.3851956837487,0.159345625028037,2.41735964624648,0.0156335618491677,0.0621002030152241
"1806","Mapk8ip1",4564.69574507283,0.385174856246258,0.0766693802540096,5.0238420471139,5.06478967989261e-07,1.42060063053822e-05
"1807","Haus3",125.777853862826,0.385080804113476,0.128225021693626,3.00316427345645,0.00267188165223449,0.0160662077418888
"1808","Bdh2",15.5109127397612,0.384633311076626,0.437514876725756,0.879131959934983,0.379329730702404,0.581561851189932
"1809","Bmf",57.5423023267331,0.384514873435147,0.181350969721492,2.12028021700497,0.0339824209929885,0.110040667646523
"1810","Cyb5r1",301.659010475507,0.384437480154809,0.12856358684011,2.9902516692609,0.00278747679497009,0.016585540105898
"1811","Efemp1",192.921428350204,0.3841399644712,0.314402904545707,1.22180793789504,0.221780266045341,0.411330649846186
"1812","Nos2",8.39382485184773,0.38368809898071,0.427655669813862,0.897189318564888,0.369617903910094,0.571787641253637
"1813","Nkx2-2",28.5626340551013,0.383677467763616,0.217792838208705,1.76166246291325,0.0781263435635224,0.202590676400587
"1814","B9d2",53.4715146109358,0.383587533971182,0.181278321833455,2.11601437001162,0.0343435854247591,0.110979737815814
"1815","Zfp719",521.359261001061,0.383512603825519,0.147231531979201,2.60482655223405,0.00919207800126305,0.0417444544058525
"1816","Metrnl",71.95198200198,0.383408562491795,0.194269755125023,1.97358854055821,0.0484285478126072,0.142795084730121
"1817","Rhob",5310.70809941803,0.383028003786935,0.0725594164865506,5.27881868865266,1.30019377595736e-07,4.62934290777511e-06
"1818","Sh3bgrl3",1555.80293373603,0.382871409438521,0.0854766118799452,4.4792534591366,7.49045490731937e-06,0.000140029079009932
"1819","Wnt5b",16.3477848516839,0.38270338597784,0.426783440102349,0.896715640808514,0.369870672402932,0.571951723958724
"1820","Trim9",6037.03390699593,0.382692970409441,0.151870439212004,2.51986477681296,0.0117399925672071,0.0499414031875599
"1821","1600023N17Rik",7.32274725040697,0.382364838977052,0.409400832148695,0.933962046364811,0.350323471134801,0.552853120051327
"1822","Ager",6.58310409006376,0.382317400554752,0.582565788226337,0.656264765767905,0.511653783726612,0.696208075841245
"1823","Nudt11",731.590705516559,0.382271527065975,0.0753057644782102,5.07625850045763,3.84939510602479e-07,1.13053327078073e-05
